group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
types-termcolor_1.1.6.2_tar-gz,pypi,,types-termcolor,1.1.6.2,tar-gz,11,6.666992188,NaN,NaN,benign
types-termcolor_1.1.6.2_py3-none-any-whl,pypi,,types-termcolor,1.1.6.2,py3-none-any-whl,6,2.573242188,NaN,NaN,benign
types-filelock_3.2.7_tar-gz,pypi,,types-filelock,3.2.7,tar-gz,11,8.19921875,NaN,NaN,benign
matplatlib-plus_1.1_tar-gz,pypi,,matplatlib-plus,1.1,tar-gz,8,0.845703125,"['OO1llO1ll10lOOllOO1ll', 'setInterval', 'OlOl1110001110Oll0OlO', 'O110O1l1OOl0l1l1111ll', 'OO1llO1ll10lOOllOO1ll', 'lO00111OO01OOlll000O1', 'OO1llO1ll10lOOllOO1ll', 'l01llllO0100ll1O100l1', 'O1lOO1l1000l0Ol100lOO', 'l10OlO1Ol0l011OOOO0Ol', 'OO1llO1ll10lOOllOO1ll', 'l01llllO0100ll1O100l1']",O0Ol01lOO1l0l01l00l11,malicious
types-filelock_3.2.7_py3-none-any-whl,pypi,,types-filelock,3.2.7,py3-none-any-whl,6,3.58984375,NaN,NaN,benign
click-man_0.4.1_tar-gz,pypi,,click-man,0.4.1,tar-gz,23,32.73046875,NaN,NaN,benign
click-man_0.4.1_py3-none-any-whl,pypi,,click-man,0.4.1,py3-none-any-whl,12,17.87304688,NaN,NaN,benign
matplatlib-plus_1.2_tar-gz,pypi,,matplatlib-plus,1.2,tar-gz,9,0.948242188,"['OO1llO1ll10lOOllOO1ll', 'setInterval', 'OlOl1110001110Oll0OlO', 'O110O1l1OOl0l1l1111ll', 'OO1llO1ll10lOOllOO1ll', 'lO00111OO01OOlll000O1', 'OO1llO1ll10lOOllOO1ll', 'l01llllO0100ll1O100l1', 'O1lOO1l1000l0Ol100lOO', 'l10OlO1Ol0l011OOOO0Ol', 'OO1llO1ll10lOOllOO1ll', 'l01llllO0100ll1O100l1']",O0Ol01lOO1l0l01l00l11,malicious
create-eel-app_0.1.3_tar-gz,pypi,,create-eel-app,0.1.3,tar-gz,12,11.515625,NaN,NaN,benign
bson_0.5.10_tar-gz,pypi,,bson,0.5.10,tar-gz,15,34.07226563,NaN,NaN,benign
m9s-nereid-webshop_6.0.4_py3-none-any-whl,pypi,,m9s-nereid-webshop,6.0.4,py3-none-any-whl,272,10622.05371,NaN,NaN,benign
